name,category,price,description,image
Stainless Steel Blender,KITCHEN/HOME APPLIANCES,89.99,High-performance blender with multiple speed settings for all your blending needs,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Smart LED TV,KITCHEN/HOME APPLIANCES,599.99,55-inch 4K Ultra HD Smart TV with HDR and built-in streaming apps,https://m.media-amazon.com/images/I/81QpkIctqPL._AC_SL1500_.jpg
Wireless Earbuds,PHONES AND GADGETS,129.99,Noise-cancelling wireless earbuds with 24-hour battery life,https://m.media-amazon.com/images/I/61NUoWf8VxL._AC_SL1500_.jpg
Gaming Laptop,GAMING,1299.99,High-performance gaming laptop with RTX 3060 and 16GB RAM,https://m.media-amazon.com/images/I/71S4sIPFvBL._AC_SL1500_.jpg
Leather Jacket,CLOTHING,149.99,Genuine leather jacket with quilted lining and multiple pockets,https://m.media-amazon.com/images/I/71H0wL5W0vL._AC_UX569_.jpg
Running Shoes,FOOTWEAR,119.99,Lightweight running shoes with responsive cushioning,https://m.media-amazon.com/images/I/71h5QP3r3bL._AC_SY695_.jpg
Diamond Pendant Necklace,JEWELRY,499.99,14K white gold necklace with genuine diamond pendant,https://m.media-amazon.com/images/I/71m4+0AqHjL._AC_UL1500_.jpg
Anti-Aging Cream,HEALTH AND BEAUTY,39.99,Advanced anti-aging cream with retinol and hyaluronic acid,https://m.media-amazon.com/images/I/61Lh8XLOVCL._SL1500_.jpg
Ergonomic Office Chair,OFFICE PRODUCTS,249.99,Adjustable ergonomic office chair with lumbar support,https://m.media-amazon.com/images/I/61BqcxOfrML._AC_SL1500_.jpg
Baby Stroller,BABY PRODUCTS,199.99,Lightweight stroller with one-hand fold and adjustable canopy,https://m.media-amazon.com/images/I/81jUJj2kURL._AC_SL1500_.jpg
Air Fryer,KITCHEN/HOME APPLIANCES,99.99,5.8QT digital air fryer with 7 cooking presets,https://m.media-amazon.com/images/I/71S8UFo4NVL._AC_SL1500_.jpg
Smartphone,PHONES AND GADGETS,899.99,Latest smartphone with triple camera and 5G connectivity,https://m.media-amazon.com/images/I/71cQWYVtcBL._AC_SL1500_.jpg
Cotton T-Shirt,CLOTHING,24.99,100% cotton t-shirt available in multiple colors,https://m.media-amazon.com/images/I/61+6t7bpL2L._AC_UX569_.jpg
Leather Wallet,ACCESSORIES,49.99,Genuine leather wallet with multiple card slots,https://m.media-amazon.com/images/I/81x2vB1eNEL._AC_UL1500_.jpg
Fitness Tracker,HEALTH AND FITNESS,79.99,Waterproof fitness tracker with heart rate monitor,https://m.media-amazon.com/images/I/61ueGFbJ2eL._AC_SL1500_.jpg
Desk Lamp,OFFICE PRODUCTS,34.99,LED desk lamp with adjustable brightness and color temperature,https://m.media-amazon.com/images/I/61+6X2DkbGL._AC_SL1500_.jpg
Baby Monitor,BABY PRODUCTS,149.99,High-definition video baby monitor with night vision,https://m.media-amazon.com/images/I/71qkG9p0XGL._AC_SL1500_.jpg
Blender,KITCHEN/HOME APPLIANCES,59.99,High-speed blender with 1000W motor,https://m.media-amazon.com/images/I/71XKt6W0kIL._AC_SL1500_.jpg
Smart Watch,PHONES AND GADGETS,199.99,Smartwatch with fitness tracking and notifications,https://m.media-amazon.com/images/I/71Swqqe7TAL._AC_SL1500_.jpg
Gaming Console,GAMING,499.99,Next-gen gaming console with 4K graphics,https://m.media-amazon.com/images/I/71iS4gICvCL._SL1500_.jpg
